Species,Site,Variable,Value
ALNRUB,PSPST,499nm,18.601042
ALNRUB,PSPST,500nm,18.727619
ALNRUB,PSPST,501nm,18.897072
ALNRUB,PSPST,502nm,18.898214
ALNRUB,PSPST,503nm,18.903797
ALNRUB,PSPST,504nm,18.969152
ALNRUB,PSPST,505nm,19.035475
ALNRUB,PSPST,506nm,19.103756
ALNRUB,PSPST,507nm,19.188618
ALNRUB,PSPST,508nm,19.289118
ALNRUB,PSPST,509nm,19.356047
ALNRUB,PSPST,510nm,19.408606
ALNRUB,PSPST,511nm,19.389166
ALNRUB,PSPST,512nm,19.3659
ALNRUB,PSPST,513nm,19.407932
ALNRUB,PSPST,514nm,19.453718
ALNRUB,PSPST,515nm,19.509905
ALNRUB,PSPST,516nm,19.60811
ALNRUB,PSPST,517nm,19.756365
ALNRUB,PSPST,518nm,19.923035
ALNRUB,PSPST,519nm,20.099667
ALNRUB,PSPST,520nm,20.29426
ALNRUB,PSPST,521nm,20.495142
ALNRUB,PSPST,522nm,20.769548
ALNRUB,PSPST,523nm,21.048666
ALNRUB,PSPST,524nm,21.343075
ALNRUB,PSPST,525nm,21.616497
ALNRUB,PSPST,526nm,21.862535
ALNRUB,PSPST,527nm,22.067865
ALNRUB,PSPST,528nm,22.249668
ALNRUB,PSPST,529nm,22.411432
ALNRUB,PSPST,530nm,22.570606
ALNRUB,PSPST,531nm,22.764172
ALNRUB,PSPST,532nm,22.940769
ALNRUB,PSPST,533nm,23.064421
ALNRUB,PSPST,534nm,23.15535
ALNRUB,PSPST,535nm,23.20607
ALNRUB,PSPST,536nm,23.246813
ALNRUB,PSPST,537nm,23.282326
ALNRUB,PSPST,538nm,23.318478
ALNRUB,PSPST,539nm,23.354126
ALNRUB,PSPST,540nm,23.382406
ALNRUB,PSPST,541nm,23.409388
ALNRUB,PSPST,542nm,23.433163
ALNRUB,PSPST,543nm,23.464539
ALNRUB,PSPST,544nm,23.503456
ALNRUB,PSPST,545nm,23.556992
ALNRUB,PSPST,546nm,23.616289
ALNRUB,PSPST,547nm,23.678633
ALNRUB,PSPST,548nm,23.735828
ALNRUB,PSPST,549nm,23.76333
ALNRUB,PSPST,550nm,23.772158
ALNRUB,PSPST,551nm,23.749611
ALNRUB,PSPST,552nm,23.721727
ALNRUB,PSPST,553nm,23.69021
ALNRUB,PSPST,554nm,23.631607
ALNRUB,PSPST,555nm,23.566328
ALNRUB,PSPST,556nm,23.486313
ALNRUB,PSPST,557nm,23.400686
ALNRUB,PSPST,558nm,23.299938
