variable,species,avg
625nm,THUPLI,-674.5240542666667
625nm,TSUHET,-726.9257
626nm,ACEGLA,-849.8972201666667
626nm,ACEMAC,-443.4035431481481
626nm,ALNRUB,-484.4393106666667
626nm,POPTRI,-944.0570996666667
626nm,THUPLI,-672.4079087333333
626nm,TSUHET,-724.9502473333333
627nm,ACEGLA,-848.1834748333333
627nm,ACEMAC,-442.40029785185186
627nm,ALNRUB,-483.47806843333336
627nm,POPTRI,-941.772373
627nm,THUPLI,-670.9090072
627nm,TSUHET,-723.3460496666667
628nm,ACEGLA,-846.6966183333333
628nm,ACEMAC,-441.5296163703704
628nm,ALNRUB,-482.66720523333333
628nm,POPTRI,-939.6926733333333
628nm,THUPLI,-669.648193
628nm,TSUHET,-721.9279009999999
629nm,ACEGLA,-846.0131570000001
629nm,ACEMAC,-441.19700892592596
629nm,ALNRUB,-482.29985266666665
629nm,POPTRI,-939.1278223333333
629nm,THUPLI,-669.1235511333333
629nm,TSUHET,-721.2891696666667
630nm,ACEGLA,-845.8255829999999
630nm,ACEMAC,-441.1119175925926
630nm,ALNRUB,-482.2445368666667
630nm,POPTRI,-939.0795583333334
630nm,THUPLI,-668.997114
630nm,TSUHET,-721.10652
631nm,ACEGLA,-846.3295835
631nm,ACEMAC,-441.37205522222223
631nm,ALNRUB,-482.6244185333333
631nm,POPTRI,-939.7516636666668
631nm,THUPLI,-669.4260175333334
631nm,TSUHET,-721.560015
632nm,ACEGLA,-847.5066734999999
632nm,ACEMAC,-442.01747425925925
632nm,ALNRUB,-483.3464788333333
632nm,POPTRI,-940.9657253333332
632nm,THUPLI,-670.3809505333334
632nm,TSUHET,-722.6094043333334
633nm,ACEGLA,-848.9452428333334
633nm,ACEMAC,-442.81040277777777
633nm,ALNRUB,-484.2023261333333
633nm,POPTRI,-942.4027193333334
633nm,THUPLI,-671.5382327333333
633nm,TSUHET,-723.8834939999999
634nm,ACEGLA,-850.541467
634nm,ACEMAC,-443.62922555555554
634nm,ALNRUB,-485.1617719
634nm,POPTRI,-944.3276696666667
634nm,THUPLI,-672.7581486
634nm,TSUHET,-725.0951470000001
635nm,ACEGLA,-851.9429506666667
635nm,ACEMAC,-444.36805292592595
635nm,ALNRUB,-486.05660520000004
635nm,POPTRI,-946.112923
635nm,THUPLI,-673.9037839333333
635nm,TSUHET,-726.2942006666666
636nm,ACEGLA,-852.9724121666667
636nm,ACEMAC,-444.9540792962963
636nm,ALNRUB,-486.8279108333333
636nm,POPTRI,-947.6314639999999
636nm,THUPLI,-674.9074477333334
636nm,TSUHET,-727.4689176666667
637nm,ACEGLA,-853.7111138333333
637nm,ACEMAC,-445.4217467777778
637nm,ALNRUB,-487.3446667333333
637nm,POPTRI,-948.6203203333333
637nm,THUPLI,-675.3624554666667
637nm,TSUHET,-727.889449
638nm,ACEGLA,-854.29754
638nm,ACEMAC,-445.8274872962963
638nm,ALNRUB,-487.72817353333335
638nm,POPTRI,-949.3320113333334
638nm,THUPLI,-675.5302630666666
638nm,TSUHET,-727.9151673333333
639nm,ACEGLA,-853.7726075
639nm,ACEMAC,-445.5261014074074
639nm,ALNRUB,-487.4652493333333
639nm,POPTRI,-948.7439336666666
639nm,THUPLI,-675.1023726666666
639nm,TSUHET,-727.3267883333333
640nm,ACEGLA,-852.9662413333333
640nm,ACEMAC,-445.06319255555553
640nm,ALNRUB,-487.03081000000003
640nm,POPTRI,-947.9430906666666
640nm,THUPLI,-674.3927998666667
640nm,TSUHET,-726.509445
641nm,ACEGLA,-851.5456951666666
641nm,ACEMAC,-444.25288185185184
641nm,ALNRUB,-486.21981896666665
641nm,POPTRI,-946.711298
641nm,THUPLI,-673.0307691333334
641nm,TSUHET,-725.171112
642nm,ACEGLA,-849.4320845
642nm,ACEMAC,-443.14548174074076
642nm,ALNRUB,-485.1632380333333
642nm,POPTRI,-944.397109
642nm,THUPLI,-671.2551890666666
642nm,TSUHET,-723.347182
643nm,ACEGLA,-846.8698219999999
643nm,ACEMAC,-441.8457994444444
643nm,ALNRUB,-483.9476769666667
643nm,POPTRI,-941.3823123333334
643nm,THUPLI,-669.2118900666667
643nm,TSUHET,-721.20881066666675
644nm,ACEGLA,-844.1014406666667
644nm,ACEMAC,-440.34524062962964
644nm,ALNRUB,-482.3139574333333
644nm,POPTRI,-937.7393589999999
644nm,THUPLI,-666.9183782
644nm,TSUHET,-718.5401706666667
645nm,ACEGLA,-841.4163018333334
645nm,ACEMAC,-438.9126473333333
645nm,ALNRUB,-480.7194907333334
645nm,POPTRI,-934.3911353333333
645nm,THUPLI,-664.6689414666666
645nm,TSUHET,-716.0064676666666
646nm,ACEGLA,-839.026689
646nm,ACEMAC,-437.72890866666665
646nm,ALNRUB,-479.3384690666667
646nm,POPTRI,-932.0660106666667
646nm,THUPLI,-662.6085922
646nm,TSUHET,-713.9972033333333
647nm,ACEGLA,-836.4296375
647nm,ACEMAC,-436.2874684444444
647nm,ALNRUB,-477.923569
647nm,POPTRI,-929.3153326666668
647nm,THUPLI,-660.4421394
647nm,TSUHET,-711.679871
648nm,ACEGLA,-833.6802525
648nm,ACEMAC,-434.65674885185183
648nm,ALNRUB,-476.48375873333333
648nm,POPTRI,-926.25217
648nm,THUPLI,-658.1977700666666
648nm,TSUHET,-709.1362356666667
649nm,ACEGLA,-829.7027246666667
649nm,ACEMAC,-432.63947574074075
649nm,ALNRUB,-474.2230952
649nm,POPTRI,-921.6542083333333
649nm,THUPLI,-654.9293439333334
649nm,TSUHET,-705.7983403333334
650nm,ACEGLA,-825.4193161666667
650nm,ACEMAC,-430.45243374074073
650nm,ALNRUB,-471.7802529
650nm,POPTRI,-916.670337
650nm,THUPLI,-651.3864958666667
650nm,TSUHET,-702.0851973333333
651nm,ACEGLA,-820.5598028333333
651nm,ACEMAC,-427.84265077777775
651nm,ALNRUB,-469.025483
651nm,POPTRI,-910.954479
651nm,THUPLI,-647.299714
651nm,TSUHET,-697.4161826666667
652nm,ACEGLA,-817.3351611666667
652nm,ACEMAC,-426.2205352222222
652nm,ALNRUB,-467.2999949333333
652nm,POPTRI,-907.253972
652nm,THUPLI,-644.7868058666667
652nm,TSUHET,-694.6548316666666
653nm,ACEGLA,-815.369575
653nm,ACEMAC,-425.3590164444444
653nm,ALNRUB,-466.36715716666663
653nm,POPTRI,-905.105631
653nm,THUPLI,-643.4859076
653nm,TSUHET,-693.362564
654nm,ACEGLA,-815.4347738333333
654nm,ACEMAC,-425.56187514814815
654nm,ALNRUB,-466.5785916
654nm,POPTRI,-905.2491986666668
654nm,THUPLI,-643.5160932
654nm,TSUHET,-693.0818103333334
655nm,ACEGLA,-816.1094056666667
655nm,ACEMAC,-425.9913335925926
655nm,ALNRUB,-467.0953677333334
655nm,POPTRI,-906.0928349999999
655nm,THUPLI,-643.9269986666667
655nm,TSUHET,-693.252132
656nm,ACEGLA,-818.0253818333333
656nm,ACEMAC,-426.76855374074074
656nm,ALNRUB,-468.1875162333333
656nm,POPTRI,-908.3770256666667
656nm,THUPLI,-645.0904173333333
656nm,TSUHET,-694.5219876666666
657nm,ACEGLA,-819.5533861666667
657nm,ACEMAC,-427.6715272592593
657nm,ALNRUB,-469.24197756666666
657nm,POPTRI,-910.53241
657nm,THUPLI,-646.3044973333334
657nm,TSUHET,-695.866305
658nm,ACEGLA,-820.7920791666667
658nm,ACEMAC,-428.6683198888889
658nm,ALNRUB,-470.2683293
658nm,POPTRI,-912.5914933333333
658nm,THUPLI,-647.5563577333334
658nm,TSUHET,-697.266141
659nm,ACEGLA,-823.3404621666666
659nm,ACEMAC,-430.0406483703704
659nm,ALNRUB,-471.82642646666665
659nm,POPTRI,-915.6484760000001
659nm,THUPLI,-649.5210658
659nm,TSUHET,-699.3578506666668
660nm,ACEGLA,-826.5528071666668
660nm,ACEMAC,-431.76596762962964
660nm,ALNRUB,-473.79168726666666
660nm,POPTRI,-919.5051056666666
660nm,THUPLI,-652.0521658
660nm,TSUHET,-702.0133236666667
661nm,ACEGLA,-831.3379483333333
661nm,ACEMAC,-434.41699277777775
661nm,ALNRUB,-476.79721213333335
661nm,POPTRI,-925.4174103333334
661nm,THUPLI,-656.0377028666667
661nm,TSUHET,-706.1214533333334
662nm,ACEGLA,-836.3407056666666
662nm,ACEMAC,-437.0867720740741
662nm,ALNRUB,-479.8095484333333
662nm,POPTRI,-931.2115283333334
662nm,THUPLI,-659.9823895333334
662nm,TSUHET,-710.2709870000001
663nm,ACEGLA,-841.4886731666668
663nm,ACEMAC,-439.7690626296296
663nm,ALNRUB,-482.82642606666667
663nm,POPTRI,-936.9267776666667
663nm,THUPLI,-663.8998019333334
663nm,TSUHET,-714.448103
664nm,ACEGLA,-844.3972648333333
664nm,ACEMAC,-441.31889140740736
664nm,ALNRUB,-484.61792203333334
664nm,POPTRI,-940.468425
664nm,THUPLI,-666.1206998
664nm,TSUHET,-717.1374246666667
665nm,ACEGLA,-846.5987453333332
665nm,ACEMAC,-442.49961903703706
665nm,ALNRUB,-485.95582079999997
665nm,POPTRI,-943.122765
665nm,THUPLI,-667.7781572
665nm,TSUHET,-719.0313923333334
666nm,ACEGLA,-847.4156989999999
666nm,ACEMAC,-442.9527473703704
666nm,ALNRUB,-486.37733446666664
666nm,POPTRI,-943.9540656666667
666nm,THUPLI,-668.3207824
666nm,TSUHET,-719.229388
667nm,ACEGLA,-847.4443934999999
667nm,ACEMAC,-443.1283548148148
667nm,ALNRUB,-486.6043042333333
667nm,POPTRI,-944.439898
667nm,THUPLI,-668.3849364666667
667nm,TSUHET,-719.169865
668nm,ACEGLA,-847.0423780000001
668nm,ACEMAC,-443.1522844814815
668nm,ALNRUB,-486.7250178666667
668nm,POPTRI,-944.7369406666667
668nm,THUPLI,-668.1876452
668nm,TSUHET,-718.9696626666667
669nm,ACEGLA,-846.7706866666667
669nm,ACEMAC,-442.8575588148148
669nm,ALNRUB,-486.5028964666667
669nm,POPTRI,-944.9518506666666
669nm,THUPLI,-667.8324821333333
669nm,TSUHET,-718.7498256666667
670nm,ACEGLA,-846.3205671666667
670nm,ACEMAC,-442.5829025925926
670nm,ALNRUB,-486.2710777333333
670nm,POPTRI,-944.8297196666666
670nm,THUPLI,-667.3672554
670nm,TSUHET,-718.3704426666666
671nm,ACEGLA,-845.5470988333333
671nm,ACEMAC,-442.34456025925925
671nm,ALNRUB,-486.0216845666667
671nm,POPTRI,-944.0970096666666
671nm,THUPLI,-666.7026498666667
671nm,TSUHET,-717.701972
672nm,ACEGLA,-845.0592966666667
672nm,ACEMAC,-442.0038734444444
672nm,ALNRUB,-485.71617333333336
672nm,POPTRI,-942.9205659999999
672nm,THUPLI,-666.1190786
672nm,TSUHET,-716.9366706666667
673nm,ACEGLA,-844.6620161666667
673nm,ACEMAC,-441.61686833333334
673nm,ALNRUB,-485.37627430000003
673nm,POPTRI,-941.616069
673nm,THUPLI,-665.5613666
673nm,TSUHET,-716.1505473333334
674nm,ACEGLA,-843.9589288333334
674nm,ACEMAC,-441.16427444444446
674nm,ALNRUB,-484.88713203333333
674nm,POPTRI,-940.945172
674nm,THUPLI,-664.9187536000001
674nm,TSUHET,-715.592617
675nm,ACEGLA,-842.9237633333333
675nm,ACEMAC,-440.5523777777778
675nm,ALNRUB,-484.2472924333333
675nm,POPTRI,-939.9998466666667
675nm,THUPLI,-664.0016066
675nm,TSUHET,-714.8198256666667
676nm,ACEGLA,-841.4584914999999
676nm,ACEMAC,-439.73423392592593
676nm,ALNRUB,-483.4123636666667
676nm,POPTRI,-938.6995623333333
676nm,THUPLI,-662.7290026
676nm,TSUHET,-713.7688663333333
677nm,ACEGLA,-839.7440686666666
677nm,ACEMAC,-438.80047766666667
677nm,ALNRUB,-482.29864506666667
677nm,POPTRI,-936.5572763333333
677nm,THUPLI,-661.3292289999999
677nm,TSUHET,-712.1997799999999
678nm,ACEGLA,-837.5770951666666
678nm,ACEMAC,-437.6538488148148
678nm,ALNRUB,-480.94129103333336
678nm,POPTRI,-933.9622366666666
678nm,THUPLI,-659.5904705333334
678nm,TSUHET,-710.1844900000001
679nm,ACEGLA,-833.4663790000001
679nm,ACEMAC,-435.59111
679nm,ALNRUB,-478.71731086666665
679nm,POPTRI,-930.1587903333334
679nm,THUPLI,-656.3223052
679nm,TSUHET,-706.5910276666667
680nm,ACEGLA,-827.578749
680nm,ACEMAC,-432.4996380740741
680nm,ALNRUB,-475.4046462
680nm,POPTRI,-923.9517493333334
680nm,THUPLI,-651.5859727333333
680nm,TSUHET,-701.4368473333333
681nm,ACEGLA,-820.1557208333332
681nm,ACEMAC,-428.51921166666665
681nm,ALNRUB,-471.15117879999997
681nm,POPTRI,-915.667562
681nm,THUPLI,-645.58097
681nm,TSUHET,-694.9339113333333
682nm,ACEGLA,-810.1121424999999
682nm,ACEMAC,-423.02622244444444
682nm,ALNRUB,-465.1449547333333
682nm,POPTRI,-903.19579
682nm,THUPLI,-637.5053408666666
682nm,TSUHET,-686.4134403333334
683nm,ACEGLA,-799.8421226666666
683nm,ACEMAC,-417.44739803703703
683nm,ALNRUB,-458.9423182333333
683nm,POPTRI,-890.3797326666667
683nm,THUPLI,-629.2729697999999
683nm,TSUHET,-677.8107393333333
684nm,ACEGLA,-789.6728905
684nm,ACEMAC,-412.04138574074074
684nm,ALNRUB,-452.69252293333335
684nm,POPTRI,-877.7696103333334
684nm,THUPLI,-621.1769656666667
684nm,TSUHET,-669.5207896666666
685nm,ACEGLA,-780.4704473333334
685nm,ACEMAC,-407.0980504814815
685nm,ALNRUB,-447.21458126666664
685nm,POPTRI,-866.5566160000001
685nm,THUPLI,-613.7528332
685nm,TSUHET,-661.954262
686nm,ACEGLA,-771.8070371666666
686nm,ACEMAC,-402.4189117777778
686nm,ALNRUB,-442.1573417
686nm,POPTRI,-856.098621
686nm,THUPLI,-606.7192128666667
686nm,TSUHET,-654.792859
687nm,ACEGLA,-764.0975071666667
687nm,ACEMAC,-398.3634064814815
687nm,ALNRUB,-437.60651103333333
687nm,POPTRI,-846.383785
687nm,THUPLI,-600.7755150666667
687nm,TSUHET,-648.3931986666666
688nm,ACEGLA,-757.1814056666666
688nm,ACEMAC,-394.6521396666667
688nm,ALNRUB,-433.43034843333334
688nm,POPTRI,-837.3922773333334
688nm,THUPLI,-595.2895745333333
688nm,TSUHET,-642.4653203333334
689nm,ACEGLA,-751.3754565
689nm,ACEMAC,-391.42258733333335
689nm,ALNRUB,-429.7784188
689nm,POPTRI,-829.4128923333334
689nm,THUPLI,-590.4441082
689nm,TSUHET,-637.1974996666667
690nm,ACEGLA,-748.0659476666666
690nm,ACEMAC,-389.80269840740743
690nm,ALNRUB,-427.7426918666667
690nm,POPTRI,-825.5248976666667
690nm,THUPLI,-587.7627573333333
690nm,TSUHET,-634.4489326666667
691nm,ACEGLA,-746.18315
691nm,ACEMAC,-388.9678398148148
691nm,ALNRUB,-426.5778777
691nm,POPTRI,-823.531069
691nm,THUPLI,-586.2823678
691nm,TSUHET,-633.0661476666667
692nm,ACEGLA,-747.82607
692nm,ACEMAC,-389.8129808148148
692nm,ALNRUB,-427.46345626666664
692nm,POPTRI,-825.3625743333333
692nm,THUPLI,-587.7004748
692nm,TSUHET,-634.9156813333333
693nm,ACEGLA,-750.8792073333334
693nm,ACEMAC,-391.4664882962963
693nm,ALNRUB,-429.2248284
693nm,POPTRI,-828.1831496666667
693nm,THUPLI,-590.3326019333333
693nm,TSUHET,-637.8141683333334
694nm,ACEGLA,-754.982983
694nm,ACEMAC,-393.72223103703703
694nm,ALNRUB,-431.63866383333334
694nm,POPTRI,-831.7405416666667
694nm,THUPLI,-593.8691673333333
694nm,TSUHET,-641.493971
695nm,ACEGLA,-758.6754343333332
695nm,ACEMAC,-395.67368744444445
695nm,ALNRUB,-433.71358226666666
695nm,POPTRI,-836.149698
695nm,THUPLI,-596.8900956
695nm,TSUHET,-645.0200013333333
696nm,ACEGLA,-762.0014071666667
696nm,ACEMAC,-397.473754
696nm,ALNRUB,-435.518799
696nm,POPTRI,-839.9850063333333
696nm,THUPLI,-599.6636246666667
696nm,TSUHET,-648.350726
697nm,ACEGLA,-764.6922961666667
697nm,ACEMAC,-399.0206728888889
697nm,ALNRUB,-436.85899886666664
697nm,POPTRI,-842.7220086666666
697nm,THUPLI,-602.0246754666666
697nm,TSUHET,-651.3384183333333
698nm,ACEGLA,-767.5251543333334
698nm,ACEMAC,-400.38166907407407
698nm,ALNRUB,-438.4171246
698nm,POPTRI,-844.9412719999999
698nm,THUPLI,-604.0779592666667
698nm,TSUHET,-653.7840846666667
699nm,ACEGLA,-770.3396938333334
699nm,ACEMAC,-401.7176957037037
699nm,ALNRUB,-440.00800296666665
699nm,POPTRI,-847.132868
699nm,THUPLI,-606.0556042666667
699nm,TSUHET,-656.0915933333333
700nm,ACEGLA,-772.7764896666667
700nm,ACEMAC,-403.26557481481484
700nm,ALNRUB,-441.37066200000004
700nm,POPTRI,-850.1557143333333
700nm,THUPLI,-608.1862343333333
700nm,TSUHET,-658.640542
701nm,ACEGLA,-774.716841
701nm,ACEMAC,-404.5929645185185
701nm,ALNRUB,-442.5454302666667
701nm,POPTRI,-852.5125533333334
701nm,THUPLI,-609.9172405333334
701nm,TSUHET,-660.5624796666666
702nm,ACEGLA,-776.2471955
702nm,ACEMAC,-405.7383384814815
702nm,ALNRUB,-443.56506279999996
702nm,POPTRI,-854.3195446666666
702nm,THUPLI,-611.3182874
702nm,TSUHET,-661.9665553333333
703nm,ACEGLA,-777.5070643333333
703nm,ACEMAC,-406.65422703703706
703nm,ALNRUB,-444.4625831
703nm,POPTRI,-855.5339869999999
703nm,THUPLI,-612.4220613333333
703nm,TSUHET,-663.6259743333334
704nm,ACEGLA,-779.0485273333334
704nm,ACEMAC,-407.586025
704nm,ALNRUB,-445.41631846666667
704nm,POPTRI,-857.001588
704nm,THUPLI,-613.6082779999999
704nm,TSUHET,-665.4654363333333
705nm,ACEGLA,-781.1282995
705nm,ACEMAC,-408.56872555555555
705nm,ALNRUB,-446.48400983333335
705nm,POPTRI,-858.9866900000001
705nm,THUPLI,-614.9729578
705nm,TSUHET,-667.6080539999999
706nm,ACEGLA,-782.3446705
706nm,ACEMAC,-409.5010285925926
706nm,ALNRUB,-447.39893266666667
706nm,POPTRI,-860.6224296666666
706nm,THUPLI,-616.1285428
706nm,TSUHET,-668.8353563333334
707nm,ACEGLA,-783.1102398333333
707nm,ACEMAC,-410.26599314814814
707nm,ALNRUB,-448.1297519666667
707nm,POPTRI,-861.862047
707nm,THUPLI,-616.9897612
707nm,TSUHET,-669.6871173333334
708nm,ACEGLA,-783.0023738333333
708nm,ACEMAC,-410.2975625925926
708nm,ALNRUB,-448.20087656666664
708nm,POPTRI,-861.7141929999999
708nm,THUPLI,-616.7432098666667
708nm,TSUHET,-670.1077816666667
709nm,ACEGLA,-781.265475
709nm,ACEMAC,-409.360575
709nm,ALNRUB,-447.1650807666667
709nm,POPTRI,-859.4243066666667
709nm,THUPLI,-615.0194388
709nm,TSUHET,-668.5244516666666
710nm,ACEGLA,-778.3643086666667
710nm,ACEMAC,-407.73135803703707
710nm,ALNRUB,-445.3381354666667
710nm,POPTRI,-855.6034906666666
710nm,THUPLI,-612.2399124666666
710nm,TSUHET,-665.5089196666667
711nm,ACEGLA,-770.3139056666666
711nm,ACEMAC,-403.47088885185184
711nm,ALNRUB,-440.5753538
711nm,POPTRI,-845.376733
711nm,THUPLI,-605.7553808666667
711nm,TSUHET,-659.380587
712nm,ACEGLA,-760.2297966666666
712nm,ACEMAC,-398.26537174074076
712nm,ALNRUB,-434.78307846666667
712nm,POPTRI,-833.708654
712nm,THUPLI,-597.7559305333333
712nm,TSUHET,-651.5726336666667
713nm,ACEGLA,-747.2915708333334
713nm,ACEMAC,-391.7343510740741
713nm,ALNRUB,-427.5469893
713nm,POPTRI,-820.026644
713nm,THUPLI,-587.6300226666667
713nm,TSUHET,-641.4036866666667
714nm,ACEGLA,-732.8902231666666
714nm,ACEMAC,-384.0855130740741
714nm,ALNRUB,-419.2913455666667
714nm,POPTRI,-803.4210933333333
714nm,THUPLI,-575.8396795333333
714nm,TSUHET,-629.2342556666666
715nm,ACEGLA,-718.6584451666666
715nm,ACEMAC,-376.4557511111111
715nm,ALNRUB,-411.11038476666664
715nm,POPTRI,-786.8313953333333
715nm,THUPLI,-564.0290535333334
715nm,TSUHET,-616.952904
716nm,ACEGLA,-705.7628688333333
716nm,ACEMAC,-369.52607085185184
716nm,ALNRUB,-403.73438236666664
716nm,POPTRI,-771.9742313333334
716nm,THUPLI,-553.1197297333333
716nm,TSUHET,-605.500691
717nm,ACEGLA,-693.3947561666668
717nm,ACEMAC,-362.9348717037037
717nm,ALNRUB,-396.6779403666667
717nm,POPTRI,-757.4055376666666
717nm,THUPLI,-542.7650248666666
717nm,TSUHET,-594.8705053333333
718nm,ACEGLA,-681.385822
718nm,ACEMAC,-356.5632387037037
718nm,ALNRUB,-389.82071303333333
718nm,POPTRI,-743.1968483333334
718nm,THUPLI,-532.7282974
718nm,TSUHET,-584.7282173333333
719nm,ACEGLA,-670.3013583333334
719nm,ACEMAC,-350.694369962963
719nm,ALNRUB,-383.371178
719nm,POPTRI,-730.8444783333333
719nm,THUPLI,-523.1700094666667
719nm,TSUHET,-575.4326693333334
720nm,ACEGLA,-660.1665156666667
720nm,ACEMAC,-345.3798625555555
720nm,ALNRUB,-377.6257525666667
720nm,POPTRI,-719.2578080000001
720nm,THUPLI,-514.6556666666667
720nm,TSUHET,-567.1914026666667
721nm,ACEGLA,-650.8484245
721nm,ACEMAC,-340.54218144444445
721nm,ALNRUB,-372.48599873333336
721nm,POPTRI,-708.3296899999999
721nm,THUPLI,-507.03925119999997
721nm,TSUHET,-559.856894
722nm,ACEGLA,-645.3019035
722nm,ACEMAC,-337.94295696296297
722nm,ALNRUB,-369.6395985
722nm,POPTRI,-701.9928616666666
722nm,THUPLI,-502.37854239999996
722nm,TSUHET,-555.696403
723nm,ACEGLA,-642.0956906666667
723nm,ACEMAC,-336.496149
723nm,ALNRUB,-368.05613216666666
723nm,POPTRI,-698.3211756666666
723nm,THUPLI,-499.415346
723nm,TSUHET,-553.4594673333334
724nm,ACEGLA,-642.1587005
724nm,ACEMAC,-336.6418065925926
724nm,ALNRUB,-368.2251133666667
724nm,POPTRI,-698.3589483333333
724nm,THUPLI,-498.8134744
724nm,TSUHET,-553.9063646666666
725nm,ACEGLA,-644.5028785
725nm,ACEMAC,-338.1158674074074
725nm,ALNRUB,-370.0945812333333
725nm,POPTRI,-700.9071016666667
725nm,THUPLI,-500.1021811333333
725nm,TSUHET,-556.0218296666667
726nm,ACEGLA,-647.813306
726nm,ACEMAC,-340.06625622222225
726nm,ALNRUB,-372.49213953333333
726nm,POPTRI,-704.7205383333333
726nm,THUPLI,-502.0786744
726nm,TSUHET,-558.9111756666666
727nm,ACEGLA,-652.4945396666667
727nm,ACEMAC,-342.5951851851852
727nm,ALNRUB,-375.4225527333333
727nm,POPTRI,-710.5555216666668
727nm,THUPLI,-504.9035932
727nm,TSUHET,-562.9736006666667
728nm,ACEGLA,-657.5805330000001
728nm,ACEMAC,-345.52964292592594
728nm,ALNRUB,-378.65217839999997
728nm,POPTRI,-716.274845
728nm,THUPLI,-508.29166413333337
728nm,TSUHET,-567.34333
729nm,ACEGLA,-663.1305776666667
729nm,ACEMAC,-348.8022117777778
729nm,ALNRUB,-382.277891
729nm,POPTRI,-722.6623936666667
729nm,THUPLI,-512.1730312666666
729nm,TSUHET,-572.2261216666667
730nm,ACEGLA,-670.1945623333334
730nm,ACEMAC,-352.9734804814815
730nm,ALNRUB,-387.28153426666665
730nm,POPTRI,-732.5229683333333
730nm,THUPLI,-517.4181266666667
730nm,TSUHET,-579.0427686666667
731nm,ACEGLA,-678.0101855
731nm,ACEMAC,-357.38401507407406
731nm,ALNRUB,-392.3433019
731nm,POPTRI,-742.2411569999999
731nm,THUPLI,-523.0101932666666
731nm,TSUHET,-586.1052
732nm,ACEGLA,-686.3057826666666
732nm,ACEMAC,-361.9778933333333
732nm,ALNRUB,-397.48297583333334
732nm,POPTRI,-751.9606500000001
732nm,THUPLI,-528.8182674
732nm,TSUHET,-593.3605573333333
733nm,ACEGLA,-694.8131036666667
733nm,ACEMAC,-367.052393962963
733nm,ALNRUB,-403.19053196666664
733nm,POPTRI,-762.8875476666666
733nm,THUPLI,-534.6494469333334
733nm,TSUHET,-601.1728896666666
734nm,ACEGLA,-703.2980501666666
734nm,ACEMAC,-372.0558022592593
734nm,ALNRUB,-408.7777620666667
734nm,POPTRI,-774.0363619999999
734nm,THUPLI,-540.7578903333333
734nm,TSUHET,-608.9873273333333
735nm,ACEGLA,-711.7624845
735nm,ACEMAC,-376.99415551851854
735nm,ALNRUB,-414.2548311333333
735nm,POPTRI,-785.3881826666666
735nm,THUPLI,-547.1200514666666
735nm,TSUHET,-616.8036086666666
736nm,ACEGLA,-719.8090145
736nm,ACEMAC,-381.4885053333333
736nm,ALNRUB,-419.42757773333335
736nm,POPTRI,-794.4882003333333
736nm,THUPLI,-552.4500689333333
736nm,TSUHET,-623.5942813333334
737nm,ACEGLA,-726.9583406666667
737nm,ACEMAC,-385.6015181111111
737nm,ALNRUB,-424.1989472
737nm,POPTRI,-803.1351393333333
737nm,THUPLI,-557.4514016666667
737nm,TSUHET,-630.0015666666667
738nm,ACEGLA,-732.9635926666667
738nm,ACEMAC,-389.2359294444445
738nm,ALNRUB,-428.4618481333333
738nm,POPTRI,-811.2631276666667
738nm,THUPLI,-562.0588579333333
738nm,TSUHET,-635.9443083333333
739nm,ACEGLA,-737.8547218333333
739nm,ACEMAC,-392.1309135185185
739nm,ALNRUB,-431.86820953333336
739nm,POPTRI,-818.0644556666666
739nm,THUPLI,-565.4195018666667
739nm,TSUHET,-640.3924739999999
740nm,ACEGLA,-741.9015876666667
740nm,ACEMAC,-394.53668203703705
740nm,ALNRUB,-434.79717956666667
740nm,POPTRI,-823.8807756666666
740nm,THUPLI,-568.1259996666666
740nm,TSUHET,-644.256536
741nm,ACEGLA,-744.6858296666667
741nm,ACEMAC,-396.2293778148148
741nm,ALNRUB,-437.0571287
741nm,POPTRI,-828.2288796666667
741nm,THUPLI,-569.9303024
741nm,TSUHET,-647.390996
742nm,ACEGLA,-746.9759986666667
742nm,ACEMAC,-397.79197948148146
742nm,ALNRUB,-438.8202783
742nm,POPTRI,-831.6615273333333
742nm,THUPLI,-571.0782872666666
742nm,TSUHET,-649.3835369999999
743nm,ACEGLA,-749.1070353333333
743nm,ACEMAC,-399.179074037037
743nm,ALNRUB,-440.32389009999997
743nm,POPTRI,-834.6638573333332
743nm,THUPLI,-572.0665664666667
743nm,TSUHET,-651.0960136666666
744nm,ACEGLA,-751.1031781666666
744nm,ACEMAC,-400.2176747037037
744nm,ALNRUB,-441.4588149
744nm,POPTRI,-837.098918
744nm,THUPLI,-572.996851
744nm,TSUHET,-652.7023393333333
745nm,ACEGLA,-752.464699
745nm,ACEMAC,-400.94203503703704
745nm,ALNRUB,-442.4596392333333
745nm,POPTRI,-838.882893
745nm,THUPLI,-573.519046
745nm,TSUHET,-653.9878593333333
746nm,ACEGLA,-753.2510033333333
746nm,ACEMAC,-401.4972205555556
746nm,ALNRUB,-443.27809376666664
746nm,POPTRI,-840.0953223333333
746nm,THUPLI,-573.684824
746nm,TSUHET,-654.921997
747nm,ACEGLA,-752.8557519999999
747nm,ACEMAC,-401.82008381481484
747nm,ALNRUB,-443.66142813333335
747nm,POPTRI,-840.1521063333333
747nm,THUPLI,-573.1319184666667
747nm,TSUHET,-655.0740176666667
748nm,ACEGLA,-751.9746706666666
748nm,ACEMAC,-401.19852937037035
748nm,ALNRUB,-443.29149010000003
748nm,POPTRI,-839.900355
748nm,THUPLI,-571.9315621333333
